record_id,source,source_url,organization,industry,document_type,collection_date,source_date,fee_terminology,fee_category,fee_amount,currency,recurring_status,contract_clause,cancellation_requirements,renewal_terms,evidence,evidence_reference,verification_status,notes
"R-2026-001","What the Rule on Unfair or Deceptive Fees means for you | Consumer Advice","https://consumer.ftc.gov/consumer-alerts/2025/05/what-rule-unfair-or-deceptive-fees-means-you","Federal Trade Commission","live_events_and_short_term_lodging","consumer_alert","2026-08-08","2025-05-12","mandatory fees; government charges; optional add-ons","mandatory_fee_disclosure","","","not_stated","","","","The FTC consumer guidance states that covered live-event ticket and short-term-lodging sellers must include known required fees in the upfront price and disclose certain additional charges before asking for final payment.","Article paragraphs describing the Rule’s covered sellers, upfront required fees, and later-disclosed taxes or shipping","verified","Issue-specific consumer guidance for covered tickets and short-term lodging; it does not establish a general rule for every industry or a prevalence statistic."
"R-2026-002","Junk fees | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/rules-policy/junk-fees/","Consumer Financial Protection Bureau","banking_and_consumer_finance","policy_resource","2026-08-08","2024-03-05","overdraft fees; nonsufficient funds fees; depositor fees","consumer_finance_penalty_fee","","","not_stated","","","","The CFPB resource describes its junk-fee initiative and identifies surprise depositor fees, surprise overdraft fees, and related banking-fee policy and research topics.","Junk fees page headings and sections on hidden costs, surprise depositor fees, and surprise overdraft fees","verified","A CFPB policy/resource hub rather than a representative sample; it supports terminology and source context, not a DetectHiddenFees prevalence estimate."
"R-2026-003","Check your medical bill for errors | CMS","https://www.cms.gov/medical-bill-rights/help/guides/bill-errors","Centers for Medicare & Medicaid Services","healthcare_billing","consumer_guide","2026-08-08","2024-11-05","detailed bill; explanation of benefits; billing error","billing_error_review","","","not_stated","","","","CMS recommends requesting a detailed bill, comparing the patient share with the explanation of benefits, comparing the bill with medical records, and checking for duplicate services or mismatched billing codes.","Guide action steps for a detailed bill, explanation of benefits, medical records, duplicate billing, and billing codes","verified","Consumer review guidance; it does not establish an error rate or determine whether a particular bill is legally valid."
"R-2026-004","What is a Finance and Insurance (F&I) department? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/what-is-a-finance-and-insurance-fi-department-en-747/","Consumer Financial Protection Bureau","automotive_finance","consumer_answer","2026-08-08","2024-01-30","optional add-on products; auto loan features","automotive_add_on","","","not_stated","","The page notes that consumers may have a right to cancel some add-on products later.","","The CFPB explains that a dealership F&I department handles financing, contracts, paperwork, and optional add-on products; it also states that add-ons are not required to secure dealer financing and may be cancellable later depending on the circumstances.","Answer paragraphs defining F&I work, optional add-ons, loan amount effects, and possible cancellation rights","verified","General consumer guidance; cancellation rights are product- and jurisdiction-dependent and are not determined by this record."
"R-2026-005","What things can I negotiate when shopping for a car or auto loan? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/what-things-can-i-negotiate-when-shopping-for-a-car-or-auto-loan-en-2132/","Consumer Financial Protection Bureau","automotive_finance","consumer_answer","2026-08-08","2024-08-28","prepayment penalty; preparation fee; origination fee; document fee; delivery charge; market adjustment","automotive_transaction_fee","","","not_stated","","","","The CFPB lists possible dealer or loan charges including preparation, origination, document, delivery, and market-adjustment fees, and distinguishes those from taxes, title, and registration fees set by government.","Sections on optional add-on products, additional vehicle or loan fees, and non-negotiable government fees","verified","Consumer negotiation guidance; it lists examples but does not support a claim about fee frequency, legality, or typical amount."
"R-2026-006","What can I do if my bank charged me a fee for overdrawing my account? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/what-can-i-do-if-my-bank-charged-me-a-fee-for-overdrawing-my-account-en-1037/","Consumer Financial Protection Bureau","banking","consumer_answer","2026-08-08","2025-01-02","overdraft fee; nonsufficient funds fee; returned item fee","overdraft_and_returned_payment","","","not_stated","Overdraft protection enrollment and account terms","The page says an enrolled consumer can change their mind about overdraft protection by notifying the bank or credit union.","","The CFPB distinguishes one-time debit-card and ATM overdraft rules from checks and recurring electronic payments, and notes that checks or recurring payments may lead to overdraft, NSF, or returned-item fees.","Answer paragraphs on opt-in overdraft protection and check or recurring-payment fees","verified","Rules and account terms can vary; the record is not a legal determination for an individual account."
"R-2026-007","How can I avoid debit card overdrafts? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/how-can-i-avoid-debit-card-overdrafts-en-1053/","Consumer Financial Protection Bureau","banking","consumer_answer","2026-08-08","2024-09-04","debit card overdraft fee; overdraft line of credit; low-balance alert","overdraft_avoidance","","","not_stated","","The page says consumers can decline or cancel debit-card overdraft coverage.","","The CFPB says consumers can avoid debit-card overdraft fees by declining or cancelling coverage and describes linked savings or overdraft-line alternatives that may also involve fees or interest.","Answer paragraphs on declining coverage, linked savings, overdraft lines, and alerts","verified","The page describes options and possible charges; it does not compare bank-specific pricing."
"R-2026-008","Why am I being charged a monthly maintenance fee for my bank or credit union account? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/why-am-i-being-charged-a-monthly-maintenance-fee-for-my-bank-or-credit-union-account-en-2151/","Consumer Financial Protection Bureau","banking","consumer_answer","2026-08-08","2024-09-13","monthly maintenance fee; service fee; minimum balance; direct deposit","account_maintenance_fee","","","recurring","Account opening disclosures and fee-change notices","","","The CFPB says banks and credit unions may charge monthly maintenance or service fees, must disclose the fee and ways to avoid it, and must notify customers in writing when fee amounts or types change.","Answer paragraphs on permitted maintenance fees, opening disclosures, and written change notices","verified","General account-fee guidance; amounts and waiver requirements are account-specific."
"R-2026-009","I opened a ""free"" checking account but there are fees charged on my account. Can my bank/credit union do that? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/i-opened-a-free-checking-account-but-there-are-fees-charged-on-my-account-can-my-bankcredit-union-do-that-en-961/","Consumer Financial Protection Bureau","banking","consumer_answer","2026-08-08","2024-09-04","free account; no cost; ATM fee; overdraft fee; bounced check fee","advertised_free_account_exceptions","","","not_stated","Account description and fee schedule","","","The CFPB explains that an account described as free or no cost cannot have certain monthly or transaction fees, while the account may still have disclosed fees such as ATM, overdraft, bounced-check, stop-payment, dormant-account, or check-printing fees.","Answer paragraphs defining free or no-cost accounts and listed possible fees","verified","This is a general explanation, not a determination that any particular account disclosure was misleading."
"R-2026-010","Why did my payday lender charge me a late fee or a non-sufficient funds (NSF) fee? | Consumer Financial Protection Bureau","https://www.consumerfinance.gov/ask-cfpb/why-did-my-payday-lender-charge-me-a-late-fee-or-a-non-sufficient-funds-nsf-fee-en-1603/","Consumer Financial Protection Bureau","payday_lending_and_banking","consumer_answer","2026-08-08","2024-12-05","late fee; returned payment fee; NSF fee; overdraft fee","loan_payment_failure_fee","","","not_stated","Loan agreement and ACH or electronic-transfer authorization","","","The CFPB explains that an unsuccessful payday-loan repayment attempt may lead to lender late or returned-payment fees and bank or credit-union NSF or overdraft fees, depending on state law and the loan agreement.","Answer paragraphs on payment history, repayment attempts, state law, and loan agreements","verified","The page expressly limits the discussion by state law and the loan agreement; no universal fee rule is inferred."
